XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   4139.928      147       28
   4141.800      171       31
   4143.672       94       22
   4145.544       39       15
   4147.416       52       18
   4149.288        6        4
   4151.160       17       12
   4153.032        1        1
   4154.904        1        1
   4156.776        1        1
   4158.648        1        1
   4160.520        1        1
   4162.392        1        1
   4164.264        1        1
   4166.136        1        1
   4168.008        1        1
   4169.880        1        1
   4171.752        1        1
   4173.624        1        1
   4175.496        1        1
   4177.368        1        1
   4179.240        1        1
   4181.112        1        1
   4182.984        1        1
   4184.856        1        1
   4186.728        1        1
   4188.600        1        1
   4190.472        1        1
   4192.344        1        1
   4194.216        1        1
   4196.088        1        1
   4197.960        1        1
   4199.832        1        1
   4201.704        1        1
   4203.576        1        1
   4205.448        1        1
   4207.320        1        1
   4209.192        1        1
   4211.064        1        1
   4212.936        1        1
   4214.808        1        1
   4216.680        1        1
   4218.552        1        1
   4220.424        1        1
   4222.296        1        1
   4224.168        1        1
   4226.040        1        1
   4227.912        1        1
   4229.784        1        1
   4231.656        1        1
   4233.528        1        1
   4235.400        1        1
   4237.272        1        1
   4239.144        1        1
   4241.016        1        1
   4242.888        1        1
   4244.760        1        1
   4246.632        1        1
   4248.504        1        1
   4250.376        1        1
   4252.248        1        1
   4254.120        1        1
   4255.992        1        1
   4257.864        1        1
   4259.736        1        1
   4261.608        1        1
   4263.480        1        1
   4265.352        1        1
   4267.224        1        1
   4269.096        1        1
   4270.968        1        1
   4272.840        1        1
   4274.712        1        1
   4276.584        1        1
   4278.456        1        1
   4280.328        1        1
   4282.200        1        1
   4284.072        1        1
   4285.944        1        1
   4287.816        1        1
   4289.688        1        1
   4291.560        1        1
   4293.432        1        1
   4295.304        1        1
   4297.176        1        1
   4299.048        1        1
   4300.920        1        1
   4302.792        1        1
   4304.664        1        1
   4306.536        1        1
   4308.408        1        1
   4310.280        1        1
   4312.152        1        1
   4314.024        1        1
   4315.896        1        1
   4317.768        1        1
   4319.640        1        1
   4321.512        1        1
   4323.384        1        1
   4325.256        1        1
   4327.128        1        1
   4329.000        1        1
   4330.872        1        1
   4332.744        1        1
   4334.616        1        1
   4336.488        1        1
   4338.360        1        1
   4340.232        1        1
   4342.104        1        1
   4343.976        1        1
   4345.848        1        1
   4347.720        1        1
   4349.592        1        1
   4351.464        1        1
   4353.336        1        1
   4355.208        1        1
   4357.080        1        1
   4358.952        1        1
   4360.824        1        1
   4362.696        1        1
   4364.568        1        1
   4366.440        1        1
   4368.312        1        1
   4370.184        1        1
   4372.056        1        1
   4373.928        1        1
   4375.800        1        1
   4377.672        1        1
   4379.544        1        1
   4381.416        1        1
   4383.288        1        1
   4385.160        1        1
   4387.032        1        1
   4388.904        1        1
   4390.776        1        1
   4392.648        1        1
   4394.520        1        1
   4396.392        1        1
   4398.264        1        1
   4400.136        1        1
   4402.008        1        1
   4403.880        1        1
   4405.752        1        1
   4407.624        1        1
   4409.496        1        1
   4411.368        1        1
   4413.240        1        1
   4415.112        1        1
   4416.984        1        1
   4418.856        1        1
   4420.728        1        1
   4422.600        1        1
